joint_damping,joint_frictionloss,joint_armature,floor_friction,qerr_mean,sat_mean,velx_abs_mean,fall_ratio,score
0.1,0.6,0.01,0.8,0.07734543939252256,0.85325,0.05939292991720257,0.9,6.297387343743646
0.1,0.6,0.01,1.2,0.07748104594156102,0.8518333333333332,0.06282262099128273,0.907,6.314706735712096
0.2,0.4,0.02,0.8,0.08617398310172485,0.8238333333333333,0.04873766847410981,0.942,6.318050133773837
0.2,0.4,0.02,1.0,0.08617398310172485,0.8238333333333333,0.04873766847410981,0.942,6.318050133773837
0.1,0.4,0.02,0.8,0.08749918918484628,0.83725,0.05348718692382225,0.928,6.334741971831604
0.1,0.4,0.02,1.0,0.08749918918484628,0.83725,0.05348718692382225,0.928,6.334741971831604
0.2,0.4,0.02,1.2,0.08625141396056853,0.82825,0.048178746855285684,0.945,6.34459220134878
0.0,0.4,0.02,0.8,0.09032987778364779,0.8536666666666668,0.05973176694218721,0.911,6.358192305705057
0.0,0.4,0.02,1.0,0.09032987778364779,0.8536666666666668,0.05973176694218721,0.911,6.358192305705057
0.1,0.4,0.02,1.2,0.08747791569363413,0.8381666666666667,0.053923849423413134,0.938,6.368584422765641
0.0,0.4,0.02,1.2,0.0904556146352595,0.85625,0.06214511881807067,0.914,6.378983788679554
0.1,0.6,0.02,1.0,0.08697685993480454,0.8345,0.04418673383510166,0.955,6.39904708678716
0.1,0.6,0.02,0.8,0.08697685993480454,0.8345,0.04418673383510166,0.955,6.39904708678716
0.1,0.6,0.02,1.2,0.08694293598135686,0.8344166666666666,0.046498892884757385,0.96,6.414801985071759
0.2,0.6,0.02,1.2,0.0866293656543718,0.8331666666666665,0.04135692078721741,0.963,6.4156038583690185
0.2,0.6,0.01,1.2,0.078506262404734,0.85075,0.055356319153463375,0.944,6.419690684386199
0.0,0.6,0.02,1.2,0.0883591585589841,0.8455,0.05262225865592247,0.948,6.429029446445929
0.2,0.6,0.02,1.0,0.08668075532992815,0.8336666666666668,0.040409431112783126,0.969,6.435232892882915
0.2,0.6,0.02,0.8,0.08668075532992815,0.8336666666666668,0.040409431112783126,0.969,6.435232892882915
0.0,0.6,0.02,0.8,0.08848859726049815,0.8465833333333332,0.04984846133043141,0.949,6.435234758519544
0.0,0.6,0.02,1.0,0.08848859726049815,0.8465833333333332,0.04984846133043141,0.949,6.435234758519544
0.2,0.6,0.01,0.8,0.07851386466441582,0.8576666666666666,0.05418442843156321,0.942,6.440786610211279
0.2,0.6,0.01,1.0,0.07851386466441582,0.8576666666666666,0.05418442843156321,0.942,6.440786610211279
0.2,0.6,0.005,1.2,0.07087175845600996,0.8950833333333332,0.06379702801621437,0.897,6.44497536425346
0.2,0.6,0.005,1.0,0.07057813667427425,0.90075,0.06668547119931485,0.891,6.450499008948206
0.2,0.6,0.005,0.8,0.07057813667427425,0.90075,0.06668547119931485,0.891,6.450499008948206
